ClientID,Finance PnL Code,ClientName,BU_Division,Segment,Team_Lead,Manager,Tier,SITE,CS Name - Sign Off,Sign off Date,Plan Market Value,Total Value of Service,Billed ,Unbilled,Profit Margin
TULANESS,TUUN160,TULANE UNIVERSITY,IIS,Endowment/Foundation,Erik Cady,Joao Da-Cruz,2,BOSTON,Anthony Labaki,9/21/2017,"1,175,211,086","183,050","19,150","163,900",
WFARGO,WELF101,WELLS FARGO,USIS,Asset Manager,Erik Cady,Adam Hirbour,3,BOSTON,Jared Sutton,9/1/2017,"2,546,635,479","10,625","10,025",600,
YMCASL,YMSL160,YMCA OF GREATER ST. LOUIS,IIS,Endowment/Foundation,Erik Cady,Adam Hirbour,3,BOSTON,Jared Sutton,9/6/2017,"21,366,443","8,250",0,"8,250",
ARC,AMRC16C,AMERICAN RED CROSS,IIS,Endowment/Foundation,Erik Pulsifer,Scott Swanson,2,BOSTON,Lalitha Davuluri,9/19/2017,"3,334,087,403","205,750","191,500","14,250",
ACLU,ACLU160,ACLU FOUNDATION,IIS,Endowment/Foundation,Erik Pulsifer,Dan Michaud,3,BOSTON,Dan Michaud,10/13/2017,"236,345,092","26,500","20,000","6,500",
ALBERTA,ATBX091,ALBERTA TREASURY BRANCHES,IIS Canada,Public Funds,Erik Pulsifer,Dan Michaud,3,Boston,Dan Michaud,10/18/2017,"381,607,937","37,300","37,300",0,
ANTOFAGASTA,ANTO160,ANTOFAGASTA,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Dan Michaud,10/13/2017,"1,505,596,334","32,000","32,000",0,
I5XX,ASTR160,ASTRAZENECA,IIS,Corporate,Erik Pulsifer,Scott Swanson,3,BOSTON,Dan Michaud,10/18/2017,"1,287,402,855","22,750","22,500",250,
BECHGSS,BECL160,BECHTEL CORPORATION,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Dan Michaud,10/13/2017,"9,454,626,658","58,600",0,"58,600",
BURRWF,BWXX160,BURROUGHS WELLCOME,IIS,Public Funds,Erik Pulsifer,Dan Michaud,3,BOSTON,Jon Frewald,10/10/2017,"754,710,898","51,050","50,550",500,
CHOPE,HOPE16A,CITY OF HOPE,IIS,Endowment/Foundation,Erik Pulsifer,Scott Swanson,3,BOSTON,Matt Landry,10/30/2017,"2,510,314,872","82,375","82,375",0,
RICH,RICH160,CITY OF RICHMOND,IIS,Public Funds,Erik Pulsifer,Dan Michaud,2,BOSTON,Matt Landry,10/17/2017,"571,362,644","42,690",0,"42,690",
DAVIS,DAVS100,DAVIS SELECT,USIS,Asset Manager,Erik Pulsifer,Dan Michaud,3,BOSTON,Dan Michaud,10/18/2017,"18,158,642,430","44,000","44,000",0,
DIOW,ADBL160,DIOCESE OF WILMINGTON,IIS,Endowment/Foundation,Erik Pulsifer,Scott Swanson,3,BOSTON,Jon Frewald,10/10/2017,"96,404,202","38,650","37,650","1,000",
DUPONTSV,DUPT16B,DUPONT STABLE VALUE,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Dan Michaud,10/18/2017,"4,301,696,818","34,500","20,000","14,500",
EMC,EMCI900,EMC INSURANCE,USIS,Insurance,Erik Pulsifer,Scott Swanson,3,BOSTON,Jon Frewald,10/10/2017,"1,690,309,707","27,800","27,800",0,
DIOCATL,EDAT160,EPISCOPAL DIOCESE OF ATLANTA,IIS,Endowment/Foundation,Erik Pulsifer,Scott Swanson,3,BOSTON,Jon Frewald,10/10/2017,"25,545,208","14,500","14,500",0,
CHRYS,CHRY16A,FCA,IIS,Corporate,Erik Pulsifer,Dan Michaud,1,BOSTON,Matt Landry,10/31/2017,"19,636,734,997","459,450","417,850","41,600",
FCACAD,,FCA CAD,IIS,Corporate,Erik Pulsifer,Dan Michaud,1,BOSTON,Matt Landry,10/31/2017,"6,091,175,416","134,300","127,550","6,750",
FSTENGY,FECX260,FIRST ENERGY SAVINGS PLAN,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Jon Frewald,10/10/2017,"3,615,070,509","15,625","15,625",0,
GESS,GECO16A,GENERAL ELECTRIC,IIS,Asset Manager,Erik Pulsifer,Dan Michaud,1,BOSTON,Dan Michaud,10/18/2017,"82,823,428,819","1,481,328","1,481,328",0,
GOLDSS,GOLD101,GOLDMAN SACHS,IIS,Corporate,Erik Pulsifer,Scott Swanson,2,BOSTON,Matt Landry,10/31/2017,"7,755,150,001","55,250","48,000","7,250",
GPUSS,FECX260,GPU (FIRST ENERGY),IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Crystal Jones,10/13/2017,"391,188,009","39,750","38,000","1,750",
GUIDEDOG,DOGS160,GUIDE DOGS FOR THE BLIND,IIS,Endowment/Foundation,Erik Pulsifer,Dan Michaud,3,BOSTON,Crystal Jones,10/13/2017,"369,273,461","58,000","34,500","23,500",
HALLSSUK,,HALLIBURTON COMPANY - UK,GS UK,Corporate,Erik Pulsifer,Scott Swanson,2,BOSTON,Matt Landry,10/31/2017,"657,348,062","28,250",0,"28,250",
HALLSS,HALL260,HALLIBURTON COMPANY - US,IIS,Corporate,Erik Pulsifer,Scott Swanson,2,BOSTON,Matt Landry,10/31/2017,"4,579,603,608","151,050",0,"151,050",
Hanes,HBII160,Hanes Brand Inc. Retirement Savings Plan,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,Boston,Crystal Jones,10/13/2017,"731,346,390","12,500","12,500",0,
HARCHGSS,HCHD160,HARRIS COUNTY HOSPITAL,IIS,Endowment/Foundation,Erik Pulsifer,Dan Michaud,3,BOSTON,Crystal Jones,10/13/2017,"645,256,020","17,500","11,750","5,750",
HEBSRP,HEBG160,HEB BRAND SAVINGS AND RETIREMENT,IIS,Corporate,Erik Pulsifer,Dan Michaud,2,BOSTON,Jon Frewald,10/31/2017,"3,950,714","207,125","199,875","7,250",
IMF,INMF160,INTERNATIONAL MONETARY FUND,IIS,Public Funds,Erik Pulsifer,Scott Swanson,2,BOSTON,Matt Landry,10/31/2017,"27,593,444,296","183,625","182,125","1,500",
LDCC,LABR16B,LABORERS DISTRICT COUNCIL OF OHIO (LDCC),IIS,Public Funds,Erik Pulsifer,Scott Swanson,3,BOSTON,Matt Landry,10/31/2017,"2,007,779,282","92,000",0,"92,000",
MARTSS,MARM260,LOCKHEED MARTIN ,IIS,Corporate,Erik Pulsifer,Dan Michaud,1,BOSTON,Matt Landry,10/31/2017,"39,127,795,789","379,800","122,275","257,525",
MLABSS,LABR16A,MASS LABORERS,IIS,Public Funds,Erik Pulsifer,Scott Swanson,3,BOSTON,Matt Landry,10/31/2017,"3,116,902,080","158,000",0,"158,000",
MSIM-AIS,MORG008,MSIM,AIS,Asset Manager,Erik Pulsifer,Dan Michaud,3,BOSTON,Dan Michaud,10/18/2017,"585,647,903","5,000",0,"5,000",
NECARPSS,UBCX16D,NEW ENGLAND CARPENTERS (FORMERLY MASS CARPENTERS),IIS,Public Funds,Erik Pulsifer,Scott Swanson,3,BOSTON,Matt Landry,10/31/2017,"4,125,626,345","142,250",0,"142,250",
NEHGS,NEHG160,NEW ENGLAND HISTORIC GENEALOGICAL SOCIETY,IIS,Endowment/Foundation,Erik Pulsifer,Dan Michaud,3,BOSTON,Luke Liang,11/1/2017,"30,099,916","9,000",0,"9,000",
NET,TEAM16A,NEW ENGLAND TEAMSTERS,IIS,Public Funds,Erik Pulsifer,Scott Swanson,3,BOSTON,Matt Landry,10/31/2017,"2,084,270,472","31,500",0,"31,500",
NJDOI,STNJ260,NEW JERSEY DIVISION OF INVESTMENT,IIS,Public Funds,Erik Pulsifer,Scott Swanson,1,BOSTON,Erik Pulsifer,10/31/2017,"75,182,773,866","625,050","9,000","616,050",
NYLIFE,NYLI902,New York Life,USIS,Asset Manager,Erik Pulsifer,Dan Michaud,3,BOSTON,Jon Frewald,10/10/2017,"3,456,285,861","78,000","63,000","15,000",
NYSTHW,TEAM16B,NEW YORK STATE TEAMSTERS,IIS,Public Funds,Erik Pulsifer,Scott Swanson,3,BOSTON,Matt Landry,10/31/2017,"1,667,401,033","138,000",0,"138,000",
PACDC,MAME160,PACIFICORP DC,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Crystal Jones,10/13/2017,"1,291,291,660","15,250","1,750","13,500",
PERD,PERD160,PERDUE FARMS INC,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Luke Liang,10/23/2017,"211,456,031","5,000","4,500",500,
SETNHLTH,SETN160,SETON HEALTH PLAN,IIS,Endowment/Foundation,Erik Pulsifer,Scott Swanson,3,BOSTON,Crystal Jones,10/13/2017,"14,087,548","6,750","6,750",0,
SPHSGSS,SHPP160,SHEPPARD PRATT HEALTH SYSTEM ,IIS,Endowment/Foundation,Erik Pulsifer,Dan Michaud,3,BOSTON,Luke Liang,10/24/2017,"370,805,645","52,750","51,300","1,450",
UFCW,UFCW16B,SOUTHERN CALIFORNIA UFCW UNIONS AND FOOD EMPLOYERS,IIS,Public Funds,Erik Pulsifer,Scott Swanson,3,BOSTON,Matt Landry,10/31/2017,"4,760,686,011","98,375",0,"98,375",
SPIRAX,SPIR160,SPIRAX SARCO,IIS,Corporate,Erik Pulsifer,Dan Michaud,3,BOSTON,Luke Liang,10/13/2017,"58,787,002","2,500","2,500",0,
UNTECGSS,UTCX160,UNITED TECHNOLOGIES CORP (UTC),IIS,Corporate,Erik Pulsifer,Dan Michaud,2,BOSTON,Matt Landry,10/31/2017,"24,593,656,565","52,250","51,750",500,
XER,XERX16C,XEROX CORPORATION,IIS,Corporate,Erik Pulsifer,Scott Swanson,1,BOSTON,Matt Landry,10/31/2017,"7,812,125,955","483,200","259,450","223,750",
NRECASS,NREC16A,N.R.E.C.A.,IIS,Corporate,Erik Pulsifer,Scott Swanson,2,BOSTON,Lalitha Davuluri,9/20/2017,"18,539,408,920","105,788","89,988","15,800",
RSA,RSOA160,RETIREMENT SYSTEMS OF ALABAMA,IIS,Public Funds,Erik Pulsifer,Scott Swanson,1,BOSTON,Lalitha Davuluri,9/20/2017,"24,423,124,335","624,250",,"624,250",
ASTO,AZAZ160,ARIZONA STATE TREASURER OFFICE,IIS,Public Funds,Justin Wiles,MABLE LEUNG,2,SACRAMENTO,Evan Smith,9/8/2017,"13,870,770,531","268,574","211,515","57,059",
LADC,,County of Los Angeles Defined Contribution Plans,IIS,Public Funds,Justin Wiles,Mable Leung,2,SACRAMENTO,Vu Nguyen,9/8/2017,"8,198,822,288","102,625",0,"102,625",
UAW,HBTR460,UNITED AUTO WORKERS RETIREE MEDICAL BENEFITS TRUST,IIS,Public Funds,Justin Wiles,Becca Fang,1,TORONTO,,,,,,,
TCRS,TENS260,Tennessee Consolidated Retirement System,IIS,Public Funds,Justin Wiles,MABLE LEUNG,1,Sacramento,Yevgeniy Gutsan,9/8/2017,"47,788,562,778,.64","312,500","312,500",0,
AIG,AIGI16B,AIG PENSION,IIS,Corporate,Len Robinson,Miles Cobb,2,BOSTON,Pietro Panza,9/13/2017,"3,886,615,902","55,000","52,000","3,000",
ARES,ARES090,ARES CAPITAL MANAGEMENT,USIS,Asset Manager,Len Robinson,Mike O'Connell,3,BOSTON,J. Negoshian,9/18/2017,"222,192,845","1,875",0,"1,875",
BCBSM,BCBL900,BCBSM,USIS,Corporate,Len Robinson,Miles Cobb,3,BOSTON,Miles Cobb,9/8/2017,"4,819,303,876","60,750","58,250","2,500",
BEAUMONT,,BEAUMONT HEALTH,IIS,Endowment/Foundation,Len Robinson,Mike O'Connell,2,BOSTON,J. Negoshian,9/14/2017,"3,245,100,205","133,250","133,250",0,
CGINCSS,CGRP160,CAREGROUP,IIS,Endowment/Foundation,Len Robinson,Miles Cobb,2,BOSTON,Miles Cobb,9/7/2017,"3,193,954,057","161,750","143,250","18,500",
CPEN,CEPF160,CENTRAL PENSION,IIS,Public Funds,Len Robinson,Miles Cobb,2,BOSTON,Miles Cobb,9/14/2017,"16,426,937,557","124,000",0,"124,000",
KALA,KALA160,CITY OF KALAMAZOO,IIS,Public Funds,Len Robinson,Miles Cobb,3,BOSTON,Pietro Panza,9/13/2017,"773,763,809","13,500","2,500","11,000",
KAL ,KAXX160,COUNTY OF KALAMAZOO,IIS,Public Funds,Len Robinson,Miles Cobb,3,BOSTON,Pietro Panza,9/13/2017,"233,120,665","11,500","9,500","2,000",
IFSDIA,TROL190,DIVERSIFIED INVESTMENT ADVISORS (DIA),USIS,Asset Manager,Len Robinson,Miles Cobb,2,BOSTON,Paul Mackey,9/20/2017,"1,862,680,726","21,000",0,"21,000",
EARNEST,EARN100,EARNEST PARTNERS,USIS,Asset Manager,Len Robinson,Mike O'Connell,3,BOSTON,J. Negoshian,9/11/2017,"446,757,332","15,000","9,000","6,000",
FORDDC,FORD16B,FORD DC,IIS,Corporate,Len Robinson,Mike O'Connell,1,BOSTON,J. Negoshian,9/13/2017,"15,735,454,964","48,800","42,000","6,800",
FORDINS,FORD16A,FORD MOTOR CREDIT COMPANY INSURANCE,IIS,Corporate,Len Robinson,Mike O'Connell,2,BOSTON,J. Negoshian,9/18/2017,"13,331,967,541","49,800","36,500","13,300",
GSMM,GOLD360,GOLDMAN SACHS - ALTERNATIVES FUND,USIS,Asset Manager,Len Robinson,Mike O'Connell,2,BOSTON,Pietro Panza,9/13/2017,"2,749,072,808","330,986","310,986","20,000",
OLD MUTUAL,GOLD106,GOLDMAN SACHS - DWIGHT FUNDS,USIS,Asset Manager,Len Robinson,Mike O'Connell,3,BOSTON,Pietro Panza,9/13/2017,"11,275,432,453","38,500","38,500",0,
GSCHAND,OTIS160,GOLDMAN SACHS - MARIAN OTIS CHANDLER,WMS,Asset Manager,Len Robinson,Mike O'Connell,3,BOSTON,Pietro Panza,9/13/2017,"1,263,032,658","20,500","20,000",500,
IAM,IAOM16B,IAM NATIONAL PENSION FUND,IIS,Public Funds,Len Robinson,Mike O'Connell,2,BOSTON,J. Negoshian,9/14/2017,"11,607,991,482","114,750","2,500","112,250",
JHDB,MLTM360,JOHN HANCOCK DB,IIS,Corporate,Len Robinson,Mike O'Connell,2,BOSTON,Pietro Panza,9/13/2017,"2,367,473,979","110,000","102,000","8,000",
KAUFMF,EMKF160,KAUFFMAN,IIS,Endowment/Foundation,Len Robinson,Miles Cobb,2,BOSTON,Paul Mackey,9/14/2017,"2,269,364,048","66,500","66,500",0,
LONZAAMSS,LONZ160,LONZA AMERICAS,IIS,Corporate,Len Robinson,Miles Cobb,3,BOSTON,Paul Mackey,9/15/2017,"418,104,707","15,300","15,300",0,
LCFF,TCBE16C,LUTHER C FISHER FOUNDATION,IIS,Endowment/Foundation,Len Robinson,Miles Cobb,3,BOSTON,J. Negoshian,9/11/2017,"67,210,883","3,125","2,500",625,
MLBSS,MLPX160,MAJOR LEAGUE BASEBALL PLAYERS (MLBPA),IIS,Public Funds,Len Robinson,Mike O'Connell,3,BOSTON,Paul Mackey,9/15/2017,"3,109,338,670","28,500","12,000","16,500",
MGI,MMCI091,MERCER CANADA,IIS Canada,Asset Manager,Len Robinson,MABLE LEUNG,3,BOSTON,Paul Mackey,9/14/2017,"10,393,620,150","97,900",0,"97,900",
AMERICO,AMLF900,AMERICO,USIS,Insurance,Len Robinson,Mike O'Connell,2,BOSTON,Michael O'Connell,9/25/2017,"311,945,186","30,988","30,988",,
MICHMERS,STMI16B,MICHIGAN MERS,IIS,Public Funds,Len Robinson,Miles Cobb,2,BOSTON,Miles Cobb,10/5/2017,"10,110,413,326","322,750","224,000","98,750",
MNSBI,MSBI160,MINNESOTA SBI,IIS,Public Funds,Len Robinson,Miles Cobb,1,BOSTON,Miles Cobb,9/20/2017,"65,163,002,884","620,675",0,"620,675",
MOUNTPAC,MOPG093,"Mountain Pacific Advisors, LLC",IIS,Asset Manager,Len Robinson,Miles Cobb,3,BOSTON,Paul Mackey,9/14/2017,"29,067,870,129","121,500","121,500",0,
NYC,NYNY260,NEW YORK CITY,IIS,Public Funds,Len Robinson,Mike O'Connell,1,BOSTON,Pietro Panza,9/13/2017,"15,347,008,908","35,600",0,"35,600",
NYSTRS,NYTE160,NEW YORK STATE TEACHERS RETIREMENT (NYSTRS),IIS,Public Funds,Len Robinson,Miles Cobb,1,BOSTON,Paul Mackey,9/15/2017,"93,206,527,735","718,500",0,"718,500",
NYCERS,NYCI160,NYC COMPTROLLERS,IIS,Public Funds,Len Robinson,Mike O'Connell,1,BOSTON,J. Negoshian,9/19/2017,"187,977,009,187","3,951,575","3,951,575",0,
PNGSS ,PGXX160,P&G (Gillette),IIS,Corporate,Len Robinson,Miles Cobb,3,BOSTON,Miles Cobb,9/14/2017,"308,546,421","17,500","17,500",0,
PAC,PLIC900,PACIFIC LIFE,USIS,Asset Manager,Len Robinson,Mike O'Connell,3,BOSTON,J. Negoshian,9/14/2017,"2,303,823,399","23,250","23,250",0,
PART,PHSI16A,PARTNERS HEALTHCARE,IIS,Endowment/Foundation,Len Robinson,Mike O'Connell,2,BOSTON,J. Negoshian,9/14/2017,"6,932,959,311","117,450","117,450",0,
PBGC,PBGC160,PENSION BENEFIT GUARANTY CORP,IIS,Public Funds,Len Robinson,Miles Cobb,1,BOSTON,Miles Cobb,9/14/2017,"96,425,651,666","186,350",0,"186,350",
Roche,,Roche,IIS,Corporate,Len Robinson,Mike O'Connell,3,BOSTON,J. Negoshian,9/11/2017,"6,879,661,225","11,875","11,875",0,
RREEF,RREEF,RREEF,USIS,Asset Manager,Len Robinson,Mike O'Connell,3,BOSTON,J. Negoshian,9/11/2017,"9,936,325","5,500","5,500",0,
SFVV,SNFI260,SANOFI-AVENTIS US,IIS,Corporate,Len Robinson,Miles Cobb,2,BOSTON,Miles Cobb,9/14/2017,"2,027,016,946","94,750","67,500","27,250",
GEORGIA,STGA16B,STATE OF GEORGIA,IIS,Public Funds,Len Robinson,Mike O'Connell,2,BOSTON,Paul Mackey,9/14/2017,"20,832,422,544","210,000","93,500","116,500",
NEBRASS,NEBX160,STATE OF NEBRASKA,IIS,Public Funds,Len Robinson,Miles Cobb,2,BOSTON,Paul Mackey,9/20/2017,"20,735,029,958","241,000","21,000","220,000",
SSSSP,SSBT160,STATE STREET SALARY SAVINGS PLAN,IIS,Corporate,Len Robinson,Mike O'Connell,3,BOSTON,J. Negoshian,9/11/2017,"3,376,839,476","11,875","11,875",0,
ING,Add to time file,Tangerine Direct Canada,IIS Canada,Asset Manager,Len Robinson,Miles Cobb,3,Boston,Miles Cobb,8/29/2017,"2,910,433,488","10,500","10,000",500,
TRANSAM,TROL090,TRANSAMERICA,USIS,Asset Manager,Len Robinson,Miles Cobb,2,BOSTON,Paul Mackey,9/20/2017,"109,022,505,533","251,750","149,200","102,550",
UPASS,UPEN160,UNIVERSITY OF PENNSYLVANIA,IIS,Endowment/Foundation,Len Robinson,Mike O'Connell,1,BOSTON,Paul Mackey,9/20/2017,"13,566,547,297","220,825","208,625","12,200",
USGAHC,GOLF160,US GOLF ASSOCIATION,IIS,Asset Manager,Len Robinson,Mike O'Connell,2,BOSTON,Pietro Panza,9/13/2017,"355,981,543","33,250","33,250",0,
USAAMM,USAA100,USAA MULTI-MANAGED,USIS,Asset Manager,Len Robinson,Miles Cobb,2,BOSTON,Miles Cobb,9/14/2017,"10,747,450,728","104,150","113,250","9,100",
WCRA,WCRA160,WORKERS COMPENSATION REINSURANCE ASSOCIATION (WCRA),IIS,Endowment/Foundation,Len Robinson,0,3,BOSTON,Miles Cobb,9/8/2017,"2,525,466,486","33,750","33,750",0,
AIMCO,ALBE091,AIMCO (ALBERTA FINANCE),IIS Canada,Public Funds,MATTHEW SWAN,DAVID DAI,2,TORONTO,Kyle Coelho,9/20/2017,"6,000,455,001","85,043","85,043",0,
ALLIBERN,ALLC093,ALLIANCE BERNSTEIN,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,1,TORONTO,Kyle Coelho,9/20/2017,"26,275,286,264","39,692","39,692",0,
BANKDMEX,BDMX160,BANCO DE MEXICO,IIS,Public Funds,MATTHEW SWAN,DAVID DAI,3,Toronto,Urvashi Joshi,9/28/2017,"6,771,621,322","22,000",0,"22,000",
CIAM,CRMC291,CAPITAL INTERNATIONAL ASSET MANAGEMENT,IIS Canada,Asset Manager,MATTHEW SWAN,Scott Swanson,3,BOSTON,Kyle Coelho,9/20/2017,"9,639,481,372","53,950",0,"53,950",
FSPP,FDPR091,FINANCIERE DES PROFESSIONELS,IIS Canada,Asset Manager,MATTHEW SWAN,Joao Da-Cruz,3,BOSTON,Urvashi Joshi,9/21/2017,"2,545,953,879","72,268","11,195","61,073",
FPALLC,,First Pacific Advisors,USIS,Asset Manager,MATTHEW SWAN,Miles Cobb,2,Toronto,Urvashi Joshi,9/21/2017,"24,279,927,585","83,500","83,500",0,
IBM ,IBMC091,IBM CANADA,IIS Canada,Corporate,MATTHEW SWAN,DAVID DAI,2,TORONTO,Urvashi Joshi,9/21/2017,"2,178,832,633","73,568",0,"73,568",
ICBC,INBC091,INSURANCE CORP OF BRITISH COLUMBIA,IIS Canada,Public Funds,MATTHEW SWAN,DAVID DAI,2,TORONTO,Urvashi Joshi,9/21/2017,"11,813,800,140","57,575","57,575",0,
MANITOB,MCSS091,MANITOBA CIVIL SERVICE SUPERANNUATION BOARD,IIS Canada,Public Funds,MATTHEW SWAN,DAVID DAI,2,TORONTO,Kyle Coelho,9/20/2017,"7,444,527,405","83,483","83,483",0,
MANULIFE,MLTM91G,MANULIFE REAL ESTATE FUNDS,IIS Canada,Asset Manager,MATTHEW SWAN,Rob Moles,3,BOSTON,Urvashi Joshi,9/22/2017,"2,844,118,001","47,819","47,819",0,
MANUS,,MANULIFE REAL ESTATE FUNDS (US),USIS,Asset Manager,MATTHEW SWAN,Rob Moles,3,Toronto,Urvashi Joshi,9/22/2017,"1,206,153,478","27,500","27,500",0,
ADDISIFS,ADDC097,ADDISON CLARK MANAGEMENT,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"159,671,758","24,500",0,"24,500",
BRANDES,BIPX091,BRIDGEHOUSE ASSET MANAGERS,IIS Canada,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Matt Swan,10/31/2017,"2,700,000,000","49,180","49,180",0,
BUENA,BUVI097,BUENA VISTA FUND MANAGEMENT LLC,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,TORONTO,Asad Khan,10/2/2017,"576,202,671","5,500","5,500",0,
COBALIFS,COBL097,COBALT CAPITAL MANAGEMENT,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"1,106,710,701","19,000",0,"19,000",
RISKMGMT,RISK901,CRICO (RISK MANAGEMENT FOUNDATION),USIS,Endowment/Foundation,MATTHEW SWAN,DAVID DAI,2,BOSTON,,,,,,,
DIALEIFS,DTIC097,DIALECTIC CAPITAL MANAGEMENT,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"180,855,183","107,000",0,"107,000",
DISCOVER,DCMX094,DISCOVERY CAPITAL MANAGEMENT LLC,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,TORONTO,Asad Khan,10/2/2017,"5,588,423,026","27,800",0,"27,800",
DTE,DETE160,DTE Energy,IIS ,Corporate,MATTHEW SWAN,DAVID DAI,2,TORONTO,Asad Khan,10/2/2017,"7,970,883,796","243,500","50,250","193,250",
ELMRGIFS,ELMR097,ELM RIDGE MANAGEMENT,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"172,542,359","13,500",0,"13,500",
FIRSTIFS,FITR097,FIRST TRUST BANK LIMITED,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"3,176,422,484","140,000",0,"140,000",
GEOLOIFS,GEOL097,GEOLOGIC RESOURCE PARTNERS,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"125,555,272","24,500",0,"24,500",
GOVERNOR,GVNR094,GOVERNORS LANE MASTER FUND LP,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,TORONTO,Asad Khan,11/16/2017,"3,300,225,918","19,000",0,"19,000",
KPERS,KPER160,KANSAS PUBLIC EMPLOYEES RETIREMENT SYSTEM (KPERS),IIS,Public Funds,MATTHEW SWAN,MABLE LEUNG,2,SACRAMENTO,,,,,,,
LIZARIFS,LIZD097,LIZARD INVESTORS,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"738,488,805","13,500",0,"13,500",
MD-FIN,MDFI091,MD FINANCIAL,IIS Canada,Asset Manager,MATTHEW SWAN,DAVID DAI,1,TORONTO,Urvashi Joshi,9/22/2017,"28,028,676,364","115,149","115,149",0,
MERCER,MMCI090,"MERCER GLOBAL MULTI-ASSET FUND, LLC",AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"135,392,996","13,250","13,250",0,
PUTNAIFS,PUTN097,PUTNAM INVESTMENTS,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"137,816,633","24,500",0,"24,500",
PRINGSS,PPIA160,PRINCIPIA CORP,IIS,Endowment/Foundation,MATTHEW SWAN,Rob Moles,2,TORONTO,Urvashi Joshi,9/21/2017,"681,046,226","178,750","43,500","135,250",
RATANIFS,RACG097,RATAN CAPITAL,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"208,248,367","8,000",0,"8,000",
RMCP,REMO094,RED MOUNTAIN PARTNERS LLC,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,TORONTO,Asad Khan,10/2/2017,"287,033,918","5,500","5,500",0,
ALCANC,ACAL191,RIO TINTO ALCAN CANADIAN MT,IIS Canada,Corporate,MATTHEW SWAN,DAVID DAI,2,TORONTO,,,,,,,
ALCANU,,RIO TINTO US MT,IIS Canada,Corporate,MATTHEW SWAN,DAVID DAI,2,TORONTO,,,,,,,
SAGEVIFS,SCLP097,SAGEVIEW CAPITAL,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"992,747,695","13,500",0,"13,500",
SHANNONR,SRGM097,SHANNON RIVER MASTER FUND LP,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,TORONTO,Asad Khan,10/2/2017,"230,133,265","16,973","2,500","14,473",
SOROBIFS,SRCP097,SOROBAN CAPITAL PARTNERS,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,Toronto,Asad Khan,10/2/2017,"11,492,309,979","19,000",0,"19,000",
STDLIFE,SLXX093,Standard Life Investments,AIS,Asset Manager,MATTHEW SWAN,Miles Cobb,1,TORONTO,Asad Khan,10/2/2017,"5,239,579,978","384,000",0,"384,000",
SVALUSS,SPRV160,SUPERVALU,IIS,Corporate,MATTHEW SWAN,Joao Da-Cruz,2,BOSTON,Urvashi Joshi,9/22/2017,"786,605,883","15,500","15,500",0,
ILTRS1,ILLT160,TEACHERS RETIREMENT SYSTEM OF ILLINOIS,IIS,Public Funds,MATTHEW SWAN,Becca Fang,1,TORONTO,Urvashi Joshi,9/28/2017,"49,398,164,673","1,043,250",0,"1,043,250",
TEXMRS,TMRS160,TEXAS MUNICIPAL RETIREMENT SYSTEMS,IIS,Public Funds,MATTHEW SWAN,MABLE LEUNG,2,TORONTO,,,,,,,
IFSTCM,FOCO194,Thames CapItal Management,AIS,Asset Manager,MATTHEW SWAN,DAVID DAI,2,TORONTO,Asad Khan,10/2/2017,"26,500,998","8,000","8,000",0,
