ClientID,ClientName,SalesforceID,Segment,MktSubSegment,Insurance,BU_Division,BusinessUnitHead,OracleID,Tier,IIS_Top_100,SSIA TOP TIER,DirectPublish,ClientStartDate,DateClientTerminated,Site_Lead,Team_Lead,Manager,Primary_Client_Contact,Analyst_1_(A&C),Analyst_2_(CSO),Analyst_3_(Coverage),SITE,BU_Relationship_Managers,BU_Client_Service,COMPLIANCE_CS,AuditLocation,AcctContact,PNASRVR,MCHREGION,DAILY,SECTOR_NAME,Oversight_Site,Oversight_Group,Operations_Email_Dist,JV_Email_Dist,Client_Specific_Email_Dist,Watchlist,CM_Requires_2nd_ Approver
BKRK,"BlackRock, Inc.",001G000001jmmzT,Asset Manager,ASSET MANAGER,Internal,Internal,KEDIA,1.00E+12,2,,,,12/1/2012,,"Pae, Lisa H","Tu, Chi T","Mansiya, Azharuddin ","Rozek, Justin J","Hui, Elroy","Hui, Elroy","Mansiya, Azharuddin ",SACRAMENTO,STOKES CHRISTINE,,,JV-Mumbai,NONE,08PAW3,CI500,Yes,Asset Managers,SACRAMENTO,N/A,Perf_West_Team2,SSIA-US PnA Alameda,,Stable,No
BOEINGCC,Boeing Corporate Cash,,,RETIREMENT DC,IIS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,12/31/2009,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
BOEINGSP,The Boeing Company,001G000001jmnBw,Corporate,RETIREMENT - CORP,CPS,IIS,SCHAFER,1.00E+12,1,TOP IIS,TOP SSIA,,1/1/2009,6/30/2017,,Erik Cady,Joao Da-Cruz,,,,,BOSTON,MACVARISH KATHY,Matt Snyder,Nathan Ormerod,JV Pune,BENKART BRIAN,02PAW3,CI500,No,Asset Owners,BOSTON,CAPA5,,JV_QAT_US-PnA Monthly Ops,,Terminated,No
BONTON,"The Bon-Ton Stores, Inc.",001G000001jmkKsIAI,Corporate,VARIOUS - CORP,STS,IIS,YOUNG,1.00E+12,3,,,,1/1/2010,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","King, Jonathan William","King, Jonathan William","Adamson, Carlisle O","Agganis, Dean P",BOSTON,ROONEY JOE,ROONEY JOE,,JV Pune,SWAMI SUNDER VELLA,04PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
BOODEIFS,BOODELL AND COMPANY CAPITAL MANAGEMENT,,,ASSET MANAGER,AIS,AIS,WILLIAMSON,,1,,,,7/1/2014,8/1/2014,,TERMINATED,TERMINATED,MATTHEW SWAN,TERMINATED,TERMINATED,TERMINATED,Toronto,STERNER ERIC,,,,STERNER ERIC,22PAW3,IFS DW,Yes,,Toronto,,,,,No Status,No
BOYSGSS,Boy Scouts of America,001G000001jmqD8IAI,Endowment/Foundation,PHILANTHROPIC,NFP,IIS,SCHECHTER,1.00E+12,2,,,,1/1/2009,,"Pae, Lisa H","Hennessy, Carl J","Hirbour, Adam S","Ghiurau, Florian A","Burton, Eric C","Dean, Michael","Andrade, Kelvin",SACRAMENTO,RONALD GAYTON,Michael Dean,,JV-Mumbai,MCELIGOTT MICHAEL,06PAW3,CI800,No,,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,,Stable,No
BPAM,BRITISH PETROLEUM (BP),001G000001jmjvw,Corporate,RETIREMENT - DC,CPS,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Hirbour, Adam S","Sutton, Jared E","Burton, Eric C","Sutton, Jared E","Wall, Stephen M",BOSTON,Mike Rogerson,Dave Nelson,,JV Pune,BENKART BRIAN,06PAW3,CI800,NO,,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
BPC,BEACH POINT CAPITAL MANAGEMENT,001G000001jmjMDIAY,,ASSET MANAGER,AIS,AIS,STERNER,,2, , ,,9/9/9999,12/31/2015,,MATTHEW SWAN,DAVID DAI,MATTHEW SWAN,ANDREW NG,ANDREW NG,DAVID DAI,Toronto,STERNER ERIC,STERNER ERIC, ,JV Pune,STERNER ERIC,22PAW3,IFS DW,Yes,,Toronto,,,JV_QAT_US-PnA Daily Ops,,No Status,No
BPSS,BP SOLAR,,,RETIREMENT DC,IIS,,SCHECHTER,,3,,,,3/1/2013,6/30/2014,,Kristine Treacy,,NONE,,,Kristine Treacy,BOSTON,,,,Terminated, , , , ,,BOSTON,,,,,No Status,No
BRANDES,BRIDGEHOUSE ASSET MANAGERS,001G000001jmjYz,Asset Manager,ASSET MANAGER,CAD,IIS Canada,BAILLIE,1.00E+12,3,,,,1/1/2009,,"Swan, Matthew","Swan, Matthew","Dai, David","Joshi, Urvashi","Chu, Daniel","Doan, Thuy Anh Ngu","Doan, Thuy Anh Ngu",TORONTO,Jamie Paris,Anju Chauhan,,JV Pune,Mike Petrie,02PAW3,CI800,Yes,Asset Managers,Toronto,N/A,,JV_QAT_US-PnA Daily Ops,,Stable,No
BROWNUN,BROWN UNIVERSITY,001G000001jmjdIIAQ,,EDUCATION,NFP,IIS,SCHAFER,1.00E+12,1,TOP IIS,TOP SSIA,,1/1/2009,5/1/2016,,Erik Cady,Scott Swanson,Joao Da Cruz,Alan Kowalski,Cheryl Coughlin,Wayne Fairchild,BOSTON,Ron Gayton,Cheryl Phillips,,JV-Pune,MCELIGOTT MICHAEL,04PAW3,CI800,No,,BOSTON,CAPA2,,JV_QAT_US-PnA Monthly Ops,,No Status,No
BRYNMIFS,BRYN MAWR CAPITAL,001G000001jmsAQIAY,,ASSET MANAGER,AIS,AIS,STERNER,,2, , ,,7/1/2014,2/28/2016,,MATTHEW SWAN,DAVID DAI,MATTHEW SWAN,ANDREW NG,ANDREW NG,DAVID DAI,Toronto,STERNER ERIC,STERNER ERIC, ,JV Pune,STERNER ERIC,22PAW3,IFS DW,Yes,,Toronto,,,JV_QAT_US-PnA Daily Ops,,No Status,No
BU ,Boston University,,,EDUCATION,NFP,,TERMINATED,1.00E+12,-99,,,,1/1/2009,7/31/2010,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
BUENA,BUENA VISTA FUND MANAGEMENT,001G000001jms5v,Asset Manager,ASSET MANAGER,AIS,AIS,STERNER,1.00E+13,2,,,,6/1/2015,,"Swan, Matthew","Gonsalves, Zico","Gonsalves, Zico","Kanthan, Vinay","Kanthan, Vinay","Kanthan, Vinay","Ng, Andrew",TORONTO,ALEPH GRANADOS,Adrienne Bender,,JV Pune,Adrienne Bender,22PAW3,IGLS,YES,Asset Managers,TORONTO,N/A,,JV_QAT_US-PnA Daily Ops,,Watch,Yes
BURRWF,Burroughs Wellcome Fund,001G000001jmilXIAQ,Public Funds,RETIREMENT - DB,NFP,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pulsifer, Erik C","Michaud, Daniel","Frewald, Jonathan","Stepanova, Nataliya","Frewald, Jonathan",,BOSTON,Gordon Davies,Day Kevin,,JV Pune,MCELIGOTT MICHAEL,04PAW3,CI400,No,,BOSTON,N/A,Perf_East_Team3,JV_QAT_US-PnA Monthly Ops,,Stable,No
BUTLER,BUTLER HOSPITAL,,,VARIOUS - CORP,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,5/31/2012,,Performance Operations,,NONE,,,PETER STORMENT,BOSTON,,,,, , , , ,,BOSTON,,,,,No Status,No
BWAS,BARCLAYS WEALTH ADVISORS,001G000001jmk51,,ASSET MANAGER,AIS,AIS,ANTON,1.00E+12,2,,,,10/1/2013,10/1/2013,,BENJAMIN BANYAI,,NONE,Amanda Hsieh,,MABLE LEUNG,,None,,,Terminated,NONE,,CI800,YES,,,,,,,No Status,No
CABOT,CABOT CORP,001G000001jmqnYIAQ,Corporate,CORPORATE CASH,STS,IIS,YOUNG,1.00E+12,3,,,,1/1/2010,3/31/2017,,Rob Moles,Steven Osyf,Olga Rudgalve,Eric Burton,Eric Burton,Steven Osyf,BOSTON,SARAH RASK,Brad Lahmann,,JV Pune,SWAMI SUNDER VELLA,13PAW3,CI800,No,,BOSTON,Core Team,,JV_QAT_US-PnA Monthly Ops,,Stable,No
CAFRITZ,CAFRITZ FOUNDATION,,,PHILANTHROPIC,STS,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2009,5/31/2015,,Kristine Treacy,Kristine Treacy,Vilda Lo,Eric Burton,Eric Burton,Kristine Treacy,BOSTON,Gordon Davies,Lenig Aaron,,JV Pune,SWAMI SUNDER VELLA,06PAW3,CI800,No,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
CAIS091,Caisse De Depot Et Placement Du Quebec,001G000001jmoTkIAI,Asset Manager,ASSET MANAGER,CAD,IIS Canada,BAILLIE,1.00E+12,3,TOP IIS,TOP SSIA,,1/1/2010,,"Swan, Matthew","Cady, Erik G",,"Da Cruz, Joao J",,,,TORONTO,Vince Christofaro,Vince Christofaro,,,NONE,02PAW3,CI400,No,,TORONTO,N/A,Perf_East_Team2,,,No Status,No
CALPERS,CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM (CALPERS),001G000001jmjik,Public Funds,STATE ENTITY,USIS-Young,IIS,YOUNG,1.00E+12,1,TOP IIS,TOP SSIA,,1/1/2009,,"Pae, Lisa H","Hennessy, Carl J","Leung, Mable","Hennessy, Carl J","Ng, Andrew","Ng, Andrew","Dai, David",SACRAMENTO,Gary Lane,Teri Carroll,,JV-Mumbai,Young Rick,14PAW3,CI500,Yes,Asset Owners,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,ACL CalPERS Performance ,Watch,Yes
CALSTRS,California State Teachers Retirement System,001G000001jmlOi,Public Funds,STATE ENTITY,USIS-Young,IIS,YOUNG,1.00E+12,1,TOP IIS,TOP SSIA,,1/1/1987,,"Pae, Lisa H","Hennessy, Carl J","Leung, Mable","Hennessy, Carl J","Kang, Min Jeong","Kang, Min Jeong","Leung, Mable",SACRAMENTO,CALABIO TRAVIS,Natalie Brennan,,JV-Mumbai,Young Rick,08PAW3,CI500,Yes,Asset Owners,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,,Monitor,No
CAMB,CAMBREX CORPORATION,001G000001jmr9BIAQ,Corporate,VARIOUS - CORP,STS,IIS,SCHECHTER,1.00E+12,3,,,Yes,1/1/2009,8/17/2017,Scott Verrill,Erik Cady,Adam Hirbour,Jared Sutton,,Eric Burton,Jared Sutton,Boston,Eric Bittner,Lora MUTSCHELKNAUS,,JV Pune,SWAMI SUNDER VELLA (KS),02PAW3,CI800,No,,Poland,CAPA4,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
CARNEGIE,CARNEGIE INSTITUTE OF WASHINGTON,001G000001jmn6TIAQ,Endowment/Foundation,RESEARCH,STS,IIS,YOUNG,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Chau, Stella S","Chau, Stella S","Adamson, Carlisle O","Law, Fennie S",BOSTON,Stacy Berislavich,Mark Brooks,,JV Pune,SWAMI SUNDER VELLA,06PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
CAROPLPSS,DUKE ENERGY (FORMERLY PROGRESS),001G000001jnEkA,Corporate,RETIREMENT - DB,IIS,IIS,SCHECHTER,1.00E+12,3,TOP IIS,TOP SSIA,,1/1/2009,12/31/2015,,Kristine Treacy,Kristine Treacy,Matt Landry,Stephanie Malley,Mike Sanderson,Becca Fang,BOSTON,LICHTY STEVE,Chris Igo,,JV Pune,MCELIGOTT MICHAEL,13PAW3,CI800,No,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
CASEWRU,CASE WESTERN RESERVE UNIVERSITY,001G000001jmrRCIAY,Endowment/Foundation,EDUCATION,NFP,IIS,SCHAFER,1.00E+12,2,,,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Hirbour, Adam S","Dean, Michael",,"Zhang, Yu Kun","Dean, Michael",BOSTON,Victoria Aguiar,Tim McCoole,,JV Pune,MCELIGOTT MICHAEL,06PAW3,CI800,No,,Poland,CAPA4,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
CAT ,Caterpillar Inc.,001G000001jmrKG,Corporate,RETIREMENT - CORP,USIS,Insurance,RASK,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Law, Fennie S","Law, Fennie S","Osyf, Steven M","Stoychev, Stefan",BOSTON, Dan Cummings,Brenda Sharp,,JV Pune, , , ,No,Insurance,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
CATALINA,CATALINA INVESTMENTS,001G000001jmk47IAA,Corporate,CORPORATE CASH,IIS,IIS,YOUNG,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Law, Fennie S","Law, Fennie S","Osyf, Steven M","Whittingstall, Bradley Karl",BOSTON,Kate Hubbard,Brad Lahmann,Samira Khakpoor,JV-Mumbai,FOGARTY BILL,06PAW3,CI500,Yes,,BOSTON,N/A,Perf_East_Team 4,SSIA-US PnA Alameda,,Stable,No
CATHOLI,Mercy Health,001G000001jmpUx,Endowment/Foundation,HEALTHCARE,NFP,IIS,Moynihan,1.00E+12,2,TOP IIS,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Da Cruz, Joao J","Da Cruz, Joao J","Sucharewicz, James M","Labaki, Anthony J","Saar-Beckles, Merit",BOSTON,Chris Sadler,Karen Colitti,,JV Pune,MCELIGOTT MICHAEL,13PAW3,CI800,No,Asset Owners,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
CAVA,Cavamont Investment Limited,,,RETIREMENT DC,SA,,TERMINATED,1.00E+12,-99,,,,1/1/2009,8/31/2010,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
CBTT,CENTRAL BANK OF TRINIDAD AND TOBAGO,001G000001jmoA7,Public Funds,RESERVE,LATAM,IIS,SCHAFER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Kerrigan, John","Kerrigan, John","King, Jonathan William","Stoychev, Stefan",BOSTON,Rocio Castillo, Carlos J Pina (CBTT_clientservice@StateStreet.com),Charlene Barucha,JV Pune,MCELIGOTT MICHAEL,06PAW3,CI800,No,Official Institutions,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
CBTT2,HERITAGE & STABILISATION FUND,001G000001jmldw,Public Funds,SOVEREIGN,LATAM,IIS,SCHAFER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Kerrigan, John","Kerrigan, John","King, Jonathan William","Stoychev, Stefan",BOSTON,Rocio Castillo, Carlos J Pina (CBTT_clientservice@StateStreet.com),,JV Pune,MCELIGOTT MICHAEL (MB),06PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
CCCUSLL,CCC-US LEVERAGED LOAN,,Asset Manager,ASSET MANAGER,Unknown,GS APAC,LOWD,1.00E+12,3,,,Yes,1/1/2010,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Cardarelli, Rachel",,"Cardarelli, Rachel","Law, Fennie S",BOSTON,Suzanne Lanterman,Suzanne Lanterman,,JV Pune,NONE,06PAW3,CI900,No,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
CDPRES,PRESIMA INC,001G000001jmsjq,Asset Manager,ASSET MANAGER,CAD,IIS Canada,BAILLIE,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Cady, Erik G","Da Cruz, Joao J","Da Cruz, Joao J","Labaki, Anthony J","Samisheva, Yelena","Sucharewicz, James M",BOSTON,Andre Frigon,Vince Christofaro,,JV Pune,PETRIE MICHAEL,02PAW3,CI400,No,Asset Managers,BOSTON,N/A,Perf_East_Team2,JV_QAT_US-PnA Monthly Ops,,Stable,No
CELANESE,Celanese Corporation,001G000001jmr2EIAQ,Corporate,RETIREMENT - CORP,CPS,IIS,SCHECHTER,1.00E+12,2,,,,9/1/2013,,"Pae, Lisa H","Hennessy, Carl J","Mansiya, Azharuddin ","Madison, Maverick","Hui, Elroy","Kang, Min Jeong","Mansiya, Azharuddin ",SACRAMENTO,Katherine Peck,,,JV-Mumbai,NONE,13PAW3,CIA00,No,,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,,No Status ,No
CGINCSS,"CareGroup, Inc.",001G000001jmpWmIAI,Endowment/Foundation,HEALTHCARE,NFP,IIS,Schafer,1.00E+12,2,,,,1/1/2009,,"Verrill, Scott M","Robinson, Leonard B","Cobb, Miles","Cobb, Miles","O'connor, Brian P","Crimmins, Matthew","Huang, Min",BOSTON,GAYTON RON,Victoria Aguiar,,JV Pune,MCELIGOTT MICHAEL,04PAW3,CIA00,No,,BOSTON,N/A,Perf_East_Team1,JV_QAT_US-PnA Monthly Ops,,Monitor,No
CHINA,China Investment Corp (aka as Babson),,,ASSET MANAGER,USIS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,1/1/2009,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
CHM,CHILDRENS HOSPITAL MEDICAL,,,HEALTHCARE,CPS,IIS,SCHECHTER,1.00E+12,3,,,,1/1/2009,2/28/2015,,Vilda Lo,Kristine Treacy,Joseph Devlin,Eric Burton,Eric Burton,Kristine Treacy,BOSTON,Duncan Lisa,Tom Clement,,JV-Mumbai,FOGARTY BILL (JG),13PAW3,CI500,No,,BOSTON,,,SSIA-US PnA Alameda,,No Status,No
CHOPE,City Of Hope National Medical Center,001G000001jmoPOIAY,Endowment/Foundation,HEALTHCARE,NFP,IIS,SCHECHTER,1.00E+12,2,,,,1/1/2012,,"Verrill, Scott M","Pulsifer, Erik C","Pulsifer, Erik C","Landry, Matthew","Postnova, Natalia","Landry, Matthew",,BOSTON,"DAVIES, GORDON",Katerina Zintsova,,JV-Mumbai,MCELIGOTT MICHAEL,08PAW3,CI500,No,,BOSTON,N/A,Perf_East_Team3,SSIA-US PnA Alameda,,Stable,No
CHP,Castle Hook,,Asset Manager,ASSET MANAGER,AIS,AIS,STERNER,1.00E+13,2,,,,11/1/2016,,"Swan, Matthew","Gonsalves, Zico","Gonsalves, Zico","Kanthan, Vinay","Kanthan, Vinay","Kanthan, Vinay","Ng, Andrew",Toronto,"Beam, Heather","Krasowska, Beata",,JV Pune,STERNER ERIC,22PAW3,IFS DW,Yes,,Toronto,N/A,,JV_QAT_US-PnA Daily Ops,,Stable,No
CHRYS,FCA US LLC. - chrysler,001G000001jmlp3,Corporate,RETIREMENT - CORP,IIS,IIS,SCHECHTER,1.00E+12,1,TOP IIS,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Pulsifer, Erik C","Michaud, Daniel","Landry, Matthew","Nop, Reth","Liang, ChiaYi",,BOSTON,MACVARISH KATHY,Jason Prescott,,JV Pune,MCELIGOTT MICHAEL,06PAW3,CIA00,Yes,Asset Owners,BOSTON,N/A,Perf_East_Team3,JV_QAT_US-PnA Daily Ops,,Stable,No
CHSCI,First Church of Christ - TMC Pool (Covariance),,,RELIGIOUS,IIS,IIS,DAVIES,1.00E+12,3,,,,4/1/2015,2/10/2016,,MATTHEW SWAN,Scott Swanson,DOUGLAS MURRAY,Min Huang,Min Huang,Scott Swanson,TORONTO,Steve Pinto,Daniel J Connolly,,JV Pune,KUTTY SHETTY,02PAW3,CIA00,No,,TORONTO,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
CHUCK,"Charles Schwab Investment Management, Inc.",001G000001jmr53IAA,Asset Manager,ASSET MANAGER,Internal,Internal,KEDIA,1.00E+12,1,,TOP SSIA,,1/1/2009,,"Pae, Lisa H","Hennessy, Carl J","Mansiya, Azharuddin ","Bohn, Ian R",,,"Mansiya, Azharuddin ",SACRAMENTO,Andrea Sharp,Mark Duarte,,JV-Mumbai,NONE,06PAW3,CIA00,Yes,,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,,Stable,No
CHUCK2,Charles Schwab Corp,001G000001jmn8L,Asset Manager,ASSET MANAGER,USIS,USIS,KEDIA,1.00E+12,1,,,,1/1/2012,,"Pae, Lisa H","Hennessy, Carl J","Mansiya, Azharuddin ","Bohn, Ian R",,,"Mansiya, Azharuddin ",SACRAMENTO,Andrea Sharp,Mark Duarte,,JV-Mumbai,NONE,06PAW3,,No,Asset Managers,SACRAMENTO,N/A,Perf_West_Team1,SSIA-US PnA Alameda,,Stable,No
CHUFND,"Church Foundation, The",,,RETIREMENT DC,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,2/28/2011,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
CHWGSS6,Catholic Healthcare West COMBINED  (CHW),,,RELIGIOUS,NFP,,TERMINATED,1.00E+12,-99,,,,1/1/2009,10/31/2010,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
CIAM,Capital International Asset Management,001G000001jmn1mIAA,Asset Manager,ASSET MANAGER,CAD,IIS Canada,BAILLIE,1.00E+12,3,,,,3/1/2012,,"Swan, Matthew","Gonsalves, Zico","Gonsalves, Zico","Coelho, Kyle","Pires, Laurentino R","Cardarelli, Rachel",Scott Swanson,Toronto,Steve Baker,Mary Sorbara,,JV Pune,NONE,04PAW3,,,,Toronto,N/A,,JV_QAT_US-PnA Monthly Ops,,Stable,No
CISCO,"Cisco Systems, Inc.",001G000001jmrOLIAY,Endowment/Foundation,PHILANTHROPIC,CPS,IIS,SCHAFER,1.00E+12,3,,,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Phan-Truong, Maggie M","Phan-Truong, Maggie M","Boutahar, Mustapha","Cardarelli, Rachel","Stoychev, Stefan",BOSTON,Chris Igo,Adam Bobola,Charlene Barucha,JV-Mumbai,FOGARTY BILL,06PAW3,CI500,No,,BOSTON,N/A,Perf_East_Team 4,SSIA-US PnA Alameda,,Stable,No
CLARK-CONS,"Clark Construction Group, LLC",001G000001jmqIJIAY,Corporate,CORPORATE CASH,STS,IIS,SCHECHTER,1.00E+12,3,,,Yes,1/1/2009,De-convered 7/31/17,,Erik Pulsifer,Dan Michaud,Luke Liang,JV - Direct Publish,Luke Liang,Nataliya Stepanova,BOSTON,Chiles Steve,Brian Jaynes,,JV Pune,SWAMI SUNDER VELLA,04PAW3,CI800,No,,BOSTON,Core Team,,JV_QAT_US-PnA Monthly Ops,,Stable,No
CLARK-US,CLARK ENTERPRISES,,,FAMILY OFC,AIS,,TERMINATED,1.00E+12,-99,,,,1/1/2010,12/31/2012,,Mable Leung,,MATTHEW SWAN,,,MATTHEW SWAN,TORONTO,,,,, , , , ,,TORONTO,,,,,No Status,No
CLORXGSS,CLOROX CO,,,RETIREMENT - CORP,STS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,3/31/2012,,Justin Rozek,,Jeffrey Shaw,,,DAX JOHNSON,SACRAMENTO,,,,, , , , ,,SACRAMENTO,,,,,No Status,No
CNL,CNL FINANCIAL GROUP,,,ASSET MANAGER,USIS,,LOWD,1.00E+12,3,,,,9/1/2012,1/31/2014,,LEONARD ROBINSON,,Jeffrey Malmin,,,JEFFREY MALMIN,BOSTON,,,,, , , , ,,BOSTON,,,,,No Status,No
COBALIFS,COBALT CAPITAL,001G000001jmrAGIAY,Asset Manager,ASSET MANAGER,AIS,AIS,STERNER,,2, , ,,7/1/2014,,"Swan, Matthew","Gonsalves, Zico","Gonsalves, Zico","Kanthan, Vinay","Kanthan, Vinay","Kanthan, Vinay","Ng, Andrew",Toronto,STERNER ERIC,"Krasowska, Beata", ,JV Pune,STERNER ERIC,22PAW3,IFS DW,Yes,,Toronto,N/A,,JV_QAT_US-PnA Daily Ops,,Stable,No
COBIRGSS,CITY OF BIRMINGHAM,,,MUNICIPAL ENTITY,PF,,SCHAFER,1.00E+12,3,,,,1/1/2009,9/1/2014,,Kristine Treacy,,NONE,NULL,,Kristine Treacy,BOSTON,TAYLOR ROBERT,,Charlene Barucha,JV Pune, , , , ,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
COCA,COCA-COLA REFRESHMENTS,,Corporate,RETIREMENT - DB,CPS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,12/31/2011,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
COH,City of Haverhill Retirement System,001G000001jmk58IAA,Public Funds,MUNICIPAL ENTITY,PF,IIS,SCHAFER,1.00E+12,2,,,,1/1/2009,9/30/2016,,Erik Cady,Joao Da-Cruz,Bo Luong,Juan Jia,Merit Saar -Beckles,Yelena Samisheva,BOSTON,MARK BROOKS,MARK BROOKS,,JV Pune,SWAMI SUNDER VELLA,04PAW3,CI800,No,,BOSTON,CAPA5,,JV_QAT_US-PnA Monthly Ops,,No Status,No
COLE,"Cole Capital Advisors, Inc.",001G000001jmlTxIAI,Asset Manager,ASSET MANAGER,USIS,USIS,HEINZL,1.00E+12,3,,,,2/1/2013,,"Verrill, Scott M","Pratt, Robert H","Phan-Truong, Maggie M","Phan-Truong, Maggie M","Boutahar, Mustapha","Cardarelli, Rachel","Stoychev, Stefan",BOSTON,Nathan Ormerod,Nathan Ormerod,,JV Pune,NONE,,,,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
COLLFDN,COLLEGE FOUNDATION,,,EDUCATION,DCS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,10/31/2011,,,,NONE,,,,,,,,, , , , ,,,,,,,No Status,No
CONEDSS,Con Ed,001G000001jmsxaIAA,Corporate,RETIREMENT - DB,CPS,IIS,SCHAFER,1.00E+12,2,TOP IIS,TOP SSIA,,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Kerrigan, John","King, Jonathan William","Stoychev, Stefan",,BOSTON,Keith Maloney,ALLAN ADRANEDA,,JV Pune,MCELIGOTT MICHAEL,04PAW3,CI500,No,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
CONN,STATE OF CONNECTICUT,,Public Funds,STATE ENTITY,PF,IIS,SCHAFER,1.00E+12,0,,,,1/1/2009,12/31/2014,,DAMIAN HUBBARD,,KAMRAN MAKHDUMI,Terminated,,Wayne Fairchild,BOSTON,,,,JV Pune, , , , ,,BOSTON,,,JV_QAT_US-PnA Monthly Ops,,No Status,No
CONOSV,ConocoPhillips,001G000001jmqURIAY,Corporate,VARIOUS - CORP,CPS,IIS,YOUNG,1.00E+12,3,,,Yes,1/1/2009,,"Verrill, Scott M","Pratt, Robert H","Moles, Robert A","Rudgalve, Olga",,"Rudgalve, Olga","Osyf, Steven M",BOSTON,Smith Kelly,Regina Martinez,,JV Pune,BENKART BRIAN (DM),04PAW3,CI800,No,,BOSTON,N/A,Perf_East_Team 4,JV_QAT_US-PnA Monthly Ops,,Stable,No
CONSENG,CONSUMERS ENERGY,,,VARIOUS - CORP,CPS,,TERMINATED,1.00E+12,-99,,,,1/1/2009,11/1/2012,,Performance Operations,,NONE,,,MATTHEW SWAN,TORONTO,,,,, , , , ,,TORONTO,,,,,No Status,No
